,city_ascii,country,population
0,Paris,France,9904000.0
1,London,United Kingdom,8567000.0
2,Madrid,Spain,5567000.0
3,Barcelona,Spain,4920000.0
4,Berlin,Germany,3406000.0
5,Rome,Italy,3339000.0
6,Athens,Greece,3242000.0
7,Milan,Italy,2945000.0
8,Stuttgart,Germany,2944700.0
9,Frankfurt,Germany,2895000.0
10,Lisbon,Portugal,2812000.0
11,Katowice,Poland,2746000.0
12,Vienna,Austria,2400000.0
13,Mannheim,Germany,2362000.0
14,Birmingham,United Kingdom,2285000.0
15,Naples,Italy,2250000.0
16,Manchester,United Kingdom,2230000.0
17,Bucharest,Romania,1942000.0
18,Hamburg,Germany,1757000.0
19,Brussels,Belgium,1743000.0
20,Essen,Germany,1742135.0
21,Warsaw,Poland,1707000.0
22,Budapest,Hungary,1679000.0
23,Turin,Italy,1652000.0
24,Leeds,United Kingdom,1529000.0
25,Florence,Italy,1500000.0
26,Lyon,France,1423000.0
27,The Hague,Netherlands,1406000.0
28,Marseille,France,1400000.0
29,Porto,Portugal,1337000.0
30,Sheffield,United Kingdom,1292900.0
31,Duisburg,Germany,1276757.0
32,Munich,Germany,1275000.0
33,Stockholm,Sweden,1264000.0
34,Dusseldorf,Germany,1220000.0
35,Seville,Spain,1212045.0
36,Sofia,Bulgaria,1185000.0
37,Prague,Czechia,1162000.0
38,Glasgow,United Kingdom,1160000.0
39,Helsinki,Finland,1115000.0
40,Kobenhavn,Denmark,1085000.0
41,Dublin,Ireland,1059000.0
42,Lille,France,1044000.0
43,Amsterdam,Netherlands,1031000.0
44,Rotterdam,Netherlands,1005000.0
45,Cologne,Germany,1004000.0
