,0
0,2019-04-17
1,2019-04-18
2,2019-04-19
3,2019-04-20
4,2019-04-21
5,2019-04-22
6,2019-04-23
7,2019-04-24
8,2019-04-25
9,2019-04-26
10,2019-04-27
11,2019-04-28
12,2019-04-29
13,2019-04-30
14,2019-05-01
15,2019-05-02
16,2019-05-03
17,2019-05-04
18,2019-05-05
19,2019-05-06
20,2019-05-07
21,2019-05-08
22,2019-05-09
23,2019-05-10
24,2019-05-11
25,2019-05-12
26,2019-05-13
27,2019-05-14
28,2019-05-15
29,2019-05-16
30,2019-05-17
31,2019-05-18
32,2019-05-19
33,2019-05-20
34,2019-05-21
35,2019-05-22
36,2019-05-23
37,2019-05-24
38,2019-05-25
39,2019-05-26
40,2019-05-27
41,2019-05-28
42,2019-05-29
43,2019-05-30
44,2019-05-31
45,2019-06-01
46,2019-06-02
47,2019-06-03
48,2019-06-04
49,2019-06-05
50,2019-06-06
51,2019-06-07
52,2019-06-08
53,2019-06-09
54,2019-06-10
55,2019-06-11
56,2019-06-12
57,2019-06-13
58,2019-06-14
59,2019-06-15
60,2019-06-16
61,2019-06-17
62,2019-06-18
63,2019-06-19
64,2019-06-20
65,2019-06-21
66,2019-06-22
67,2019-06-23
68,2019-06-24
69,2019-06-25
70,2019-06-26
71,2019-06-27
72,2019-06-28
73,2019-06-29
74,2019-06-30
75,2019-07-01
76,2019-07-02
77,2019-07-03
78,2019-07-04
79,2019-07-05
80,2019-07-06
81,2019-07-07
82,2019-07-08
83,2019-07-09
84,2019-07-10
85,2019-07-11
86,2019-07-12
87,2019-07-13
88,2019-07-14
89,2019-07-15
90,2019-07-16
91,2019-07-17
92,2019-07-18
93,2019-07-19
94,2019-07-20
95,2019-07-21
96,2019-07-22
97,2019-07-23
98,2019-07-24
99,2019-07-25
100,2019-07-26
101,2019-07-27
102,2019-07-28
103,2019-07-29
104,2019-07-30
105,2019-07-31
106,2019-08-01
107,2019-08-02
108,2019-08-03
109,2019-08-04
110,2019-08-05
111,2019-08-06
112,2019-08-07
113,2019-08-08
114,2019-08-09
115,2019-08-10
116,2019-08-11
117,2019-08-12
118,2019-08-13
119,2019-08-14
120,2019-08-15
121,2019-08-16
122,2019-08-17
123,2019-08-18
124,2019-08-19
125,2019-08-20
126,2019-08-21
127,2019-08-22
128,2019-08-23
129,2019-08-24
130,2019-08-25
131,2019-08-26
132,2019-08-27
133,2019-08-28
134,2019-08-29
135,2019-08-30
136,2019-08-31
137,2019-09-01
138,2019-09-02
139,2019-09-03
140,2019-09-04
141,2019-09-05
142,2019-09-06
143,2019-09-07
144,2019-09-08
145,2019-09-09
146,2019-09-10
147,2019-09-11
148,2019-09-12
149,2019-09-13
150,2019-09-14
151,2019-09-15
152,2019-09-16
153,2019-09-17
154,2019-09-18
155,2019-09-19
156,2019-09-20
157,2019-09-21
158,2019-09-22
159,2019-09-23
160,2019-09-24
161,2019-09-25
162,2019-09-26
163,2019-09-27
164,2019-09-28
165,2019-09-29
166,2019-09-30
167,2019-10-01
168,2019-10-02
169,2019-10-03
170,2019-10-04
171,2019-10-05
172,2019-10-06
173,2019-10-07
174,2019-10-08
175,2019-10-09
176,2019-10-10
177,2019-10-11
178,2019-10-12
179,2019-10-13
180,2019-10-14
181,2019-10-15
182,2019-10-16
183,2019-10-17
184,2019-10-18
185,2019-10-19
186,2019-10-20
187,2019-10-21
188,2019-10-22
189,2019-10-23
190,2019-10-24
191,2019-10-25
192,2019-10-26
193,2019-10-27
194,2019-10-28
195,2019-10-29
196,2019-10-30
197,2019-10-31
198,2019-11-01
199,2019-11-02
200,2019-11-03
201,2019-11-04
202,2019-11-05
203,2019-11-06
204,2019-11-07
205,2019-11-08
206,2019-11-09
207,2019-11-10
208,2019-11-11
209,2019-11-12
210,2019-11-13
211,2019-11-14
212,2019-11-15
213,2019-11-16
214,2019-11-17
215,2019-11-18
216,2019-11-19
217,2019-11-20
218,2019-11-21
219,2019-11-22
220,2019-11-23
221,2019-11-24
222,2019-11-25
223,2019-11-26
224,2019-11-27
225,2019-11-28
226,2019-11-29
227,2019-11-30
228,2019-12-01
229,2019-12-02
230,2019-12-03
231,2019-12-04
232,2019-12-05
233,2019-12-06
234,2019-12-07
235,2019-12-08
236,2019-12-09
237,2019-12-10
238,2019-12-11
239,2019-12-12
240,2019-12-13
241,2019-12-14
242,2019-12-15
243,2019-12-16
244,2019-12-17
245,2019-12-18
246,2019-12-19
247,2019-12-20
248,2019-12-21
249,2019-12-22
250,2019-12-23
251,2019-12-24
252,2019-12-25
253,2019-12-26
254,2019-12-27
255,2019-12-28
256,2019-12-29
257,2019-12-30
258,2019-12-31
259,2020-01-01
260,2020-01-02
261,2020-01-03
262,2020-01-04
263,2020-01-05
264,2020-01-06
265,2020-01-07
266,2020-01-08
267,2020-01-09
268,2020-01-10
269,2020-01-11
270,2020-01-12
271,2020-01-13
272,2020-01-14
273,2020-01-15
274,2020-01-16
275,2020-01-17
276,2020-01-18
277,2020-01-19
278,2020-01-20
279,2020-01-21
280,2020-01-22
281,2020-01-23
282,2020-01-24
283,2020-01-25
284,2020-01-26
285,2020-01-27
286,2020-01-28
287,2020-01-29
288,2020-01-30
289,2020-01-31
290,2020-02-01
291,2020-02-02
292,2020-02-03
293,2020-02-04
294,2020-02-05
295,2020-02-06
296,2020-02-07
297,2020-02-08
298,2020-02-09
299,2020-02-10
300,2020-02-11
301,2020-02-12
302,2020-02-13
303,2020-02-14
304,2020-02-15
305,2020-02-16
306,2020-02-17
307,2020-02-18
308,2020-02-19
309,2020-02-20
310,2020-02-21
311,2020-02-22
312,2020-02-23
313,2020-02-24
314,2020-02-25
315,2020-02-26
316,2020-02-27
317,2020-02-28
318,2020-02-29
319,2020-03-01
320,2020-03-02
321,2020-03-03
322,2020-03-04
323,2020-03-05
324,2020-03-06
325,2020-03-07
326,2020-03-08
327,2020-03-09
328,2020-03-10
329,2020-03-11
330,2020-03-12
331,2020-03-13
332,2020-03-14
333,2020-03-15
334,2020-03-16
335,2020-03-17
336,2020-03-18
337,2020-03-19
338,2020-03-20
339,2020-03-21
340,2020-03-22
341,2020-03-23
342,2020-03-24
343,2020-03-25
344,2020-03-26
345,2020-03-27
346,2020-03-28
347,2020-03-29
348,2020-03-30
349,2020-03-31
350,2020-04-01
351,2020-04-02
352,2020-04-03
353,2020-04-04
354,2020-04-05
355,2020-04-06
356,2020-04-07
357,2020-04-08
358,2020-04-09
359,2020-04-10
360,2020-04-11
361,2020-04-12
362,2020-04-13
363,2020-04-14
364,2020-04-15
365,2020-04-16
366,2020-04-17
